남녀공용화장실여부,남성용_대변기수,남성용_소변기수,여성용_대변기수
N,1,1,1
N,2,1,2
N,1,2,3
N,1,1,1
N,2,3,5
N,1,1,2
N,1,4,2
N,2,5,7
N,5,8,8
N,1,0,1
N,1,2,1
N,2,2,3
N,1,0,1
N,1,1,2
N,1,1,2
N,3,4,5
N,1,1,2
N,1,1,2
N,2,2,4
N,2,2,4
N,2,2,3
N,2,3,2
N,1,1,2
N,2,5,4
N,3,4,3
N,1,1,1
N,1,1,2
N,2,2,2
N,1,0,1
N,3,3,6
N,1,2,2
N,2,2,4
N,2,3,5
N,3,5,4
N,4,4,5
N,3,3,1
N,3,3,1
N,3,3,6
N,1,1,3
N,1,1,1
N,3,2,6
N,2,1,2
N,3,4,4
N,2,1,2
N,1,3,4
N,1,3,4
N,1,1,4
N,2,4,5
N,1,0,1
N,1,1,2
N,1,1,2
N,1,1,2
N,1,1,2
N,3,4,4
N,1,2,2
N,1,1,1
N,1,1,1
N,1,2,2
N,1,2,3
N,1,1,2
N,5,4,7
N,1,1,1
N,1,0,1
N,2,1,2
N,1,1,1
N,1,5,4
N,1,1,1
N,2,2,5
N,2,5,5
N,2,3,9
N,2,3,4
N,2,2,3
N,2,3,3
N,2,2,2
N,1,2,2
N,5,5,6
N,1,1,2
N,1,1,2
Y,0,1,1
N,2,2,3
N,2,2,3
N,3,3,6
N,3,3,3
N,2,3,2
N,4,4,5
N,2,3,5
N,1,2,3
N,1,1,2
N,1,1,1
Y,0,1,1
N,1,1,2
N,1,1,2
N,1,1,1
N,1,2,2
N,1,1,2
N,2,3,4
N,1,2,3
N,1,2,2
N,1,1,1
Y,0,1,1
N,3,3,4
N,2,2,3
N,1,2,3
N,5,4,6
N,1,1,1
N,1,1,2
N,3,3,6
N,2,2,4
N,3,3,3
N,1,1,1
N,2,4,5
N,2,2,3
N,2,3,5
N,3,5,3
N,1,1,1
N,3,3,3
N,2,2,2
N,2,2,3
N,2,3,4
N,1,2,2
N,1,2,4
N,3,3,4
N,2,2,2
N,2,2,2
N,2,1,2
N,1,1,1
N,1,1,2
N,1,1,2
N,1,1,1
N,1,1,1
N,2,2,5
N,1,2,1
N,1,2,3
N,3,3,5
N,1,1,2
N,18,24,36
N,5,8,7
N,1,1,2
N,1,0,1
N,1,3,4
N,0,1,1
N,2,1,2
N,16,21,18
N,1,1,1
N,2,2,4
N,1,1,2
N,1,1,2
N,4,4,4
N,5,5,10
N,2,2,4
N,1,1,1
N,3,3,5
N,4,2,4
N,4,4,4
N,2,2,5
N,1,0,1
N,1,2,3
N,1,1,2
N,6,9,18
N,1,1,2
N,2,2,4
N,2,2,2
N,17,27,33
N,27,48,52
N,34,51,50
N,31,36,53
N,2,2,2
N,3,0,2
N,1,1,1
N,2,2,2
N,2,2,2
N,27,27,17
N,6,10,12
N,1,2,3
N,1,2,1
N,13,12,11
N,14,20,14
N,4,4,4
N,15,39,22
N,12,23,25
N,1,2,1
N,1,2,1
N,17,24,34
N,1,3,1
N,14,25,14
N,7,9,9
N,7,7,12
N,14,20,14
N,8,8,8
N,4,5,3
N,6,18,11
N,2,2,3
N,17,23,27
N,12,8,20
N,12,8,20
